edge_type_id target_query source_query syn_weight weight_function weight_sigma delay dynamics_params model_template
0 node_type_id=='469793303' pop_name=='e5Rbp4' 9.035447355439999 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
1 node_type_id=='469793303' pop_name=='e23Cux2' 8.10452247641 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
2 node_type_id=='469793303' pop_name=='i6Pvalb' -0.0765355540695 DirectionRule_others 90.0 0.9 i2e.json static_synapse
3 node_type_id=='469793303' pop_name=='e4Scnn1a' 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
4 node_type_id=='469793303' pop_name=='i23Pvalb' -0.188976676715 DirectionRule_others 90.0 0.9 i2e.json static_synapse
5 node_type_id=='469793303' pop_name=='i6Htr3a' -0.264567347401 DirectionRule_others 90.0 1.5 i2e.json static_synapse
6 node_type_id=='469793303' pop_name=='i5Htr3a' -0.264567347401 DirectionRule_others 90.0 1.5 i2e.json static_synapse
7 node_type_id=='469793303' pop_name=='i23Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
8 node_type_id=='469793303' pop_name=='e4Rorb' 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
9 node_type_id=='469793303' pop_name=='e4other' 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
10 node_type_id=='469793303' pop_name=='i5Pvalb' -0.765355540695 DirectionRule_others 90.0 0.9 i2e.json static_synapse
11 node_type_id=='469793303' pop_name=='i4Pvalb' -0.68976487001 DirectionRule_others 90.0 0.9 i2e.json static_synapse
12 node_type_id=='469793303' pop_name=='i23Sst' -0.207874344386 DirectionRule_others 90.0 1.5 i2e.json static_synapse
13 node_type_id=='469793303' pop_name=='i4Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
14 node_type_id=='469793303' pop_name=='i4Sst' -0.264567347401 DirectionRule_others 90.0 1.5 i2e.json static_synapse
15 node_type_id=='469793303' pop_name=='e4Nr5a1' 17.249490405899998 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
16 node_type_id=='469793303' pop_name=='i1Htr3a' -0.39685102110200005 DirectionRule_others 90.0 3.8 i2e.json static_synapse
17 node_type_id=='469793303' pop_name=='i5Sst' -0.255118513566 DirectionRule_others 90.0 1.5 i2e.json static_synapse
18 node_type_id=='469793303' pop_name=='e5noRbp4' 9.035447355439999 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
19 node_type_id=='469793303' pop_name=='i6Sst' -0.255118513566 DirectionRule_others 90.0 1.5 i2e.json static_synapse
20 node_type_id=='469793303' pop_name=='e6Ntsr1' 2.51897320212 DirectionRule_EE 30.0 3.5 e2e.json static_synapse
21 node_type_id=='486052980' pop_name=='e5Rbp4' 21.089287164 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
22 node_type_id=='486052980' pop_name=='e23Cux2' 18.916451516800002 DirectionRule_EE 30.0 1.8 e2e.json static_synapse
23 node_type_id=='486052980' pop_name=='i6Pvalb' -0.17863866774300002 DirectionRule_others 90.0 0.9 i2e.json static_synapse
24 node_type_id=='486052980' pop_name=='e4Scnn1a' 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
25 node_type_id=='486052980' pop_name=='i23Pvalb' -0.441083130228 DirectionRule_others 90.0 0.9 i2e.json static_synapse
26 node_type_id=='486052980' pop_name=='i6Htr3a' -0.6175163823200001 DirectionRule_others 90.0 1.5 i2e.json static_synapse
27 node_type_id=='486052980' pop_name=='i5Htr3a' -0.6175163823200001 DirectionRule_others 90.0 1.5 i2e.json static_synapse
28 node_type_id=='486052980' pop_name=='i23Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
29 node_type_id=='486052980' pop_name=='e4Rorb' 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
30 node_type_id=='486052980' pop_name=='e4other' 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
31 node_type_id=='486052980' pop_name=='i5Pvalb' -1.7863866774200001 DirectionRule_others 90.0 0.9 i2e.json static_synapse
32 node_type_id=='486052980' pop_name=='i4Pvalb' -1.60995342534 DirectionRule_others 90.0 0.9 i2e.json static_synapse
33 node_type_id=='486052980' pop_name=='i23Sst' -0.485191443251 DirectionRule_others 90.0 1.5 i2e.json static_synapse
34 node_type_id=='486052980' pop_name=='i4Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
35 node_type_id=='486052980' pop_name=='i4Sst' -0.6175163823200001 DirectionRule_others 90.0 1.5 i2e.json static_synapse
36 node_type_id=='486052980' pop_name=='e4Nr5a1' 40.261366404 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
37 node_type_id=='486052980' pop_name=='i1Htr3a' -0.9262745734799999 DirectionRule_others 90.0 3.8 i2e.json static_synapse
38 node_type_id=='486052980' pop_name=='i5Sst' -0.59546222581 DirectionRule_others 90.0 1.5 i2e.json static_synapse
39 node_type_id=='486052980' pop_name=='e5noRbp4' 21.089287164 DirectionRule_EE 30.0 1.5 e2e.json static_synapse
40 node_type_id=='486052980' pop_name=='i6Sst' -0.59546222581 DirectionRule_others 90.0 1.5 i2e.json static_synapse
41 node_type_id=='486052980' pop_name=='e6Ntsr1' 5.879437633609999 DirectionRule_EE 30.0 3.5 e2e.json static_synapse
42 node_type_id=='480952106' pop_name=='e5Rbp4' 2.60214502431 DirectionRule_others 90.0 1.2 e2i.json static_synapse
43 node_type_id=='480952106' pop_name=='e23Cux2' 2.86235952674 DirectionRule_others 90.0 1.2 e2i.json static_synapse
44 node_type_id=='480952106' pop_name=='i6Pvalb' -1.42370233514 DirectionRule_others 50.0 1.6 i2i.json static_synapse
45 node_type_id=='480952106' pop_name=='e4Scnn1a' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
46 node_type_id=='480952106' pop_name=='i23Pvalb' -0.945146928368 DirectionRule_others 50.0 1.6 i2i.json static_synapse
47 node_type_id=='480952106' pop_name=='i6Htr3a' -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json static_synapse
48 node_type_id=='480952106' pop_name=='i5Htr3a' -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json static_synapse
49 node_type_id=='480952106' pop_name=='i23Htr3a' -0.0 DirectionRule_others 50.0 1.5 i2i.json static_synapse
50 node_type_id=='480952106' pop_name=='e4Rorb' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
51 node_type_id=='480952106' pop_name=='e4other' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
52 node_type_id=='480952106' pop_name=='i5Pvalb' -1.42370233514 DirectionRule_others 50.0 1.6 i2i.json static_synapse
53 node_type_id=='480952106' pop_name=='i4Pvalb' -1.12460520591 DirectionRule_others 50.0 1.6 i2i.json static_synapse
54 node_type_id=='480952106' pop_name=='i23Sst' -0.0 DirectionRule_others 50.0 1.5 i2i.json static_synapse
55 node_type_id=='480952106' pop_name=='i4Htr3a' -0.215349933046 DirectionRule_others 50.0 1.5 i2i.json static_synapse
56 node_type_id=='480952106' pop_name=='i4Sst' -0.538374832616 DirectionRule_others 50.0 1.5 i2i.json static_synapse
57 node_type_id=='480952106' pop_name=='e4Nr5a1' 2.71056773366 DirectionRule_others 90.0 1.2 e2i.json static_synapse
58 node_type_id=='480952106' pop_name=='i1Htr3a' -0.0 DirectionRule_others 50.0 3.8 i2i.json static_synapse
59 node_type_id=='480952106' pop_name=='i5Sst' -0.47855540677 DirectionRule_others 50.0 1.5 i2i.json static_synapse
60 node_type_id=='480952106' pop_name=='e5noRbp4' 2.60214502431 DirectionRule_others 90.0 1.2 e2i.json static_synapse
61 node_type_id=='480952106' pop_name=='i6Sst' -0.47855540677 DirectionRule_others 50.0 1.5 i2i.json static_synapse
62 node_type_id=='480952106' pop_name=='e6Ntsr1' 5.421135467309999 DirectionRule_others 90.0 1.2 e2i.json static_synapse
63 node_type_id=='518290966' pop_name=='e5Rbp4' 9.477674327139999 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
64 node_type_id=='518290966' pop_name=='e23Cux2' 8.48002439798 DirectionRule_EE 30.0 1.6 e2e.json static_synapse
65 node_type_id=='518290966' pop_name=='i6Pvalb' -0.174295311156 DirectionRule_others 90.0 0.9 i2e.json static_synapse
66 node_type_id=='518290966' pop_name=='e4Scnn1a' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
67 node_type_id=='518290966' pop_name=='i23Pvalb' -1.20500462033 DirectionRule_others 90.0 0.9 i2e.json static_synapse
68 node_type_id=='518290966' pop_name=='i6Htr3a' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
69 node_type_id=='518290966' pop_name=='i5Htr3a' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
70 node_type_id=='518290966' pop_name=='i23Htr3a' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
71 node_type_id=='518290966' pop_name=='e4Rorb' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
72 node_type_id=='518290966' pop_name=='e4other' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
73 node_type_id=='518290966' pop_name=='i5Pvalb' -0.0 DirectionRule_others 90.0 0.9 i2e.json static_synapse
74 node_type_id=='518290966' pop_name=='i4Pvalb' -1.3771481375299999 DirectionRule_others 90.0 0.9 i2e.json static_synapse
75 node_type_id=='518290966' pop_name=='i23Sst' -0.6455381894650001 DirectionRule_others 90.0 1.5 i2e.json static_synapse
76 node_type_id=='518290966' pop_name=='i4Htr3a' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
77 node_type_id=='518290966' pop_name=='i4Sst' -0.624020249815 DirectionRule_others 90.0 1.5 i2e.json static_synapse
78 node_type_id=='518290966' pop_name=='e4Nr5a1' 12.4207416182 DirectionRule_EE 30.0 1.3 e2e.json static_synapse
79 node_type_id=='518290966' pop_name=='i1Htr3a' -0.9037534652500001 DirectionRule_others 90.0 3.8 i2e.json static_synapse
80 node_type_id=='518290966' pop_name=='i5Sst' -0.602502310165 DirectionRule_others 90.0 1.5 i2e.json static_synapse
81 node_type_id=='518290966' pop_name=='e5noRbp4' 9.477674327139999 DirectionRule_EE 30.0 2.5 e2e.json static_synapse
82 node_type_id=='518290966' pop_name=='i6Sst' -0.0 DirectionRule_others 90.0 1.5 i2e.json static_synapse
83 node_type_id=='518290966' pop_name=='e6Ntsr1' 0.0 DirectionRule_EE 30.0 1.0 e2e.json static_synapse
84 node_type_id=='318556138' pop_name=='e5Rbp4' 3.2239157539999996 DirectionRule_others 90.0 1.2 e2i.json static_synapse
85 node_type_id=='318556138' pop_name=='e23Cux2' 3.5463073294 DirectionRule_others 90.0 1.2 e2i.json static_synapse
