node_type_id level_of_detail pop_name parameters_file
100000101 intfire e5Rbp4 e5Rbp4_avg_lif.json
100000102 intfire e23Cux2 e23Cux2_avg_lif.json
100000103 intfire i6Pvalb i6Pvalb_avg_lif.json
100000104 intfire e4Scnn1a e4Scnn1a_avg_lif.json
100000105 intfire i23Pvalb i23Pvalb_avg_lif.json
100000106 intfire i6Htr3a i6Htr3a_avg_lif.json
100000107 intfire i23Htr3a i23Htr3a_avg_lif.json
100000108 intfire e4Rorb e4Rorb_avg_lif.json
100000109 intfire i5Htr3a i5Htr3a_avg_lif.json
100000110 intfire e4other e4other_avg_lif.json
100000111 intfire i5Pvalb i5Pvalb_avg_lif.json
100000112 intfire i4Pvalb i4Pvalb_avg_lif.json
100000113 intfire i23Sst i23Sst_avg_lif.json
100000114 intfire i4Htr3a i4Htr3a_avg_lif.json
100000115 intfire i4Sst i4Sst_avg_lif.json
100000116 intfire e4Nr5a1 e4Nr5a1_avg_lif.json
100000117 intfire i1Htr3a i1Htr3a_avg_lif.json
100000118 intfire i5Sst i5Sst_avg_lif.json
100000119 intfire e5noRbp4 e5noRbp4_avg_lif.json
100000120 intfire i6Sst i6Sst_avg_lif.json
100000121 intfire e6Ntsr1 e6Ntsr1_avg_lif.json
